年次,公園分類,公園数,利用者数
昭和26年,国立公園,,"29,572"
昭和27年,国立公園,,"35,870"
昭和28年,国立公園,,"39,190"
昭和29年,国立公園,,"41,951"
昭和30年,国立公園,,"47,158"
昭和31年,国立公園,,"58,564"
昭和32年,国立公園,,"64,516"
昭和33年,国立公園,,"68,504"
昭和34年,国立公園,,"77,963"
昭和35年,国立公園,19,"90,163"
昭和36年,国立公園,19,"109,193"
昭和37年,国立公園,20,"124,490"
昭和38年,国立公園,21,"144,641"
昭和39年,国立公園,23,"163,819"
昭和40年,国立公園,23,"189,260"
昭和41年,国立公園,23,"202,119"
昭和42年,国立公園,23,"218,845"
昭和43年,国立公園,23,"250,671"
昭和44年,国立公園,23,"269,814"
昭和45年,国立公園,23,"284,574"
昭和46年,国立公園,23,"303,600"
昭和47年,国立公園,26,"318,690"
昭和48年,国立公園,26,"338,090"
昭和49年,国立公園,27,"337,450"
昭和50年,国立公園,27,"325,290"
昭和51年,国立公園,27,"320,610"
昭和52年,国立公園,27,"316,270"
昭和53年,国立公園,27,"317,700"
昭和54年,国立公園,27,"323,450"
昭和55年,国立公園,27,"310,820"
昭和56年,国立公園,27,"323,680"
昭和57年,国立公園,27,"323,130"
昭和58年,国立公園,27,"323,650"
昭和59年,国立公園,27,"342,490"
昭和60年,国立公園,27,"352,610"
昭和61年,国立公園,27,"362,520"
昭和62年,国立公園,28,"371,030"
昭和63年,国立公園,28,"375,460"
平成1年,国立公園,28,"386,860"
平成2年,国立公園,28,"407,150"
平成3年,国立公園,28,"415,960"
平成4年,国立公園,28,"413,020"
平成5年,国立公園,28,"389,920"
平成6年,国立公園,28,"408,280"
平成7年,国立公園,28,"391,070"
平成8年,国立公園,28,"395,740"
平成9年,国立公園,28,"385,480"
平成10年,国立公園,28,"381,020"
平成11年,国立公園,28,"381,560"
平成12年,国立公園,28,"366,363"
平成13年,国立公園,28,"368,000"
平成14年,国立公園,28,"369,547"
平成15年,国立公園,28,"357,923"
平成16年,国立公園,28,"351,350"
平成17年,国立公園,28,"351,837"
平成18年,国立公園,28,"352,769"
平成19年,国立公園,29,"354,232"
平成20年,国立公園,29,"345,763"
平成21年,国立公園,29,"343,559"
